RegistroANS;RazaoSocial;Trimestre;Ano;ValorDespesas
342807;NÃO INFORMADA;1;2025;43083056.79
343129;NÃO INFORMADA;1;2025;7278228.86
343331;NÃO INFORMADA;1;2025;22339490.20
343684;NÃO INFORMADA;1;2025;17881859.41
343889;NÃO INFORMADA;1;2025;1731672510.99
340162;NÃO INFORMADA;1;2025;1379055.92
343731;NÃO INFORMADA;1;2025;293578183.20
337668;NÃO INFORMADA;1;2025;182685994.93
338346;NÃO INFORMADA;1;2025;21012770.58
342386;NÃO INFORMADA;1;2025;29297605.10
342203;NÃO INFORMADA;1;2025;4686183.88
343153;NÃO INFORMADA;1;2025;3512947.89
348261;NÃO INFORMADA;1;2025;16487836.92
348520;NÃO INFORMADA;1;2025;272461231.48
345709;NÃO INFORMADA;1;2025;52930656.98
346004;NÃO INFORMADA;1;2025;4216882.89
347795;NÃO INFORMADA;1;2025;1562128.66
344397;NÃO INFORMADA;1;2025;95086603.87
344800;NÃO INFORMADA;1;2025;76992033.11
345458;NÃO INFORMADA;1;2025;26750079.16
346951;NÃO INFORMADA;1;2025;17705331.82
347604;NÃO INFORMADA;1;2025;2477468.48
348180;NÃO INFORMADA;1;2025;103497702.18
344788;NÃO INFORMADA;1;2025;6162432.48
344915;NÃO INFORMADA;1;2025;1069996.13
346659;NÃO INFORMADA;1;2025;2121154458.55
349682;NÃO INFORMADA;1;2025;83388080.46
350141;NÃO INFORMADA;1;2025;66585127.35
347825;NÃO INFORMADA;1;2025;3329935.87
345741;NÃO INFORMADA;1;2025;1461682.33
346209;NÃO INFORMADA;1;2025;41272815.10
348295;NÃO INFORMADA;1;2025;275115608.32
348830;NÃO INFORMADA;1;2025;54877181.87
347108;NÃO INFORMADA;1;2025;12207587.32
347655;NÃO INFORMADA;1;2025;28087717.49
344451;NÃO INFORMADA;1;2025;4921409.81
345091;NÃO INFORMADA;1;2025;16626147.00
346870;NÃO INFORMADA;1;2025;2329956.75
348244;NÃO INFORMADA;1;2025;51786156.77
345598;NÃO INFORMADA;1;2025;95277903.45
348082;NÃO INFORMADA;1;2025;72333308.66
344362;NÃO INFORMADA;1;2025;51093536.85
345776;NÃO INFORMADA;1;2025;17133521.30
346926;NÃO INFORMADA;1;2025;401616294.10
347736;NÃO INFORMADA;1;2025;12489936.96
349712;NÃO INFORMADA;1;2025;128376180.28
344729;NÃO INFORMADA;1;2025;58604607.64
345318;NÃO INFORMADA;1;2025;4520634.17
346276;NÃO INFORMADA;1;2025;87570236.60
347507;NÃO INFORMADA;1;2025;71127004.97
349534;NÃO INFORMADA;1;2025;40168855.07
344885;NÃO INFORMADA;1;2025;564540022.90
423718;NÃO INFORMADA;1;2025;4663947.4
423742;NÃO INFORMADA;1;2025;0
423912;NÃO INFORMADA;1;2025;125920.19
423564;NÃO INFORMADA;1;2025;169123.11
423815;NÃO INFORMADA;1;2025;2107.37
424129;NÃO INFORMADA;1;2025;0
424170;NÃO INFORMADA;1;2025;218489.71
423629;NÃO INFORMADA;1;2025;4000001.02
424048;NÃO INFORMADA;1;2025;558411.02
424145;NÃO INFORMADA;1;2025;0
423858;NÃO INFORMADA;1;2025;0
423432;NÃO INFORMADA;1;2025;813879.99
423645;NÃO INFORMADA;1;2025;256310.17
423661;NÃO INFORMADA;1;2025;20691464.17
424161;NÃO INFORMADA;1;2025;0
423548;NÃO INFORMADA;1;2025;2708083.18
300730;NÃO INFORMADA;1;2025;910137.99
